 Analysis code | AN Notes | # Authors | # Authors from USA | Institutes | # Institutes | # Insitutes from USA
B2G-12-001 |  | 0 | 0 |  | 0 | 0
B2G-12-002 | CMS AN-2011/511 | 3 | 0 | #not_found#, LOUVAIN | 2 | 0
B2G-12-003 | CMS AN-2011/419 | 10 | 4 | BOSTON-UNIV, BROWN-UNIV, #not_found#, TIFR-B, PADOVA | 5 | 2
B2G-12-004 | CMS AN-2011/454 | 7 | 4 | MOSCOW-NIKIET, UCDAVIS, ASRT-ENHEP, CORNELL, FLORIDA-STATE, #not_found#, KANSAS-STATE | 7 | 4
B2G-12-005 | CMS AN-2012/179 | 9 | 9 | CORNELL, RUTGERS, JOHNS-HOPKINS, UCDAVIS, SUNY-BUFFALO | 5 | 5
B2G-12-006 | CMS AN-2012/488, CMS AN-2012/277 | 15 | 4 | LYON, CHICAGO, HAMBURG-UNIV, FIRENZE, LOUVAIN, GENOVA, #not_found# | 7 | 1
B2G-12-007 | CMS AN-2012/420 | 3 | 3 | TIFR-B, SUNY-BUFFALO | 2 | 1
B2G-12-008 | CMS AN-2012/280 | 3 | 3 | CORNELL | 1 | 1
B2G-12-009 | CMS AN-2013/004, CMS AN-2015/180 | 10 | 8 | UCDAVIS, CERN, MOSCOW-MSU, SUNY-BUFFALO, RUTGERS, JOHNS-HOPKINS, BROWN-UNIV | 7 | 5
B2G-12-010 | CMS AN-2012/493 | 9 | 9 | FLORIDA-UNIV, PURDUE-CALUMET, BOSTON-UNIV, BROWN-UNIV | 4 | 4
B2G-12-011 |  | 0 | 0 |  | 0 | 0
B2G-12-012 | CMS AN-2012/491 | 5 | 5 | NORTHWESTERN, BROWN-UNIV, BOSTON-UNIV, TIFR-B | 4 | 3
B2G-12-013 | CMS AN-2013/362 | 5 | 3 | CORNELL, TAIPEI-NTU, #not_found#, UCDAVIS | 4 | 2
B2G-12-014 | CMS AN-2012/435 | 4 | 1 | TAIPEI-NTU, MIT, #not_found# | 3 | 1
B2G-12-015 | CMS AN-2013/028, CMS AN-2013/006 | 14 | 14 | NORTHWESTERN, LONDON-IC, PUERTO_RICO, BOSTON-UNIV, TIFR-B, BROWN-UNIV | 6 | 4
B2G-12-016 | CMS AN-2012/323, CMS AN-2015/018 | 15 | 6 | SOFIA-INRNE, MOSCOW-NIKIET, KANSAS-UNIV, ASRT-ENHEP, KANSAS-STATE, CARNEGIE-MELLON, TAIPEI-NTU, BRUSSEL-VUB, #not_found# | 9 | 3
B2G-12-017 | CMS AN-2013/076 | 17 | 9 | SOFIA-INRNE, MOSCOW-NIKIET, BROWN-UNIV, UCDAVIS, ASRT-ENHEP, #not_found#, CARNEGIE-MELLON, TAIPEI-NTU, DUBLIN-UCD, KANSAS-STATE, KANSAS-UNIV | 11 | 5
B2G-12-018 |  | 0 | 0 |  | 0 | 0
B2G-12-019 | CMS AN-2012/438 | 8 | 5 | MOSCOW-NIKIET, UCDAVIS, ASRT-ENHEP, ZAGREB-RUDJER, KANSAS-UNIV, RUTGERS, KANGWON, KANSAS-STATE | 8 | 4
