Analysis code | Status | ARC chair from USA | ARC chair from LPC | Cadi contact from US | Cadi contact LPC | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of institutes | # in institutes from USA | # of institutes from LPC
B2G-12-001 | Free | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-002 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0
B2G-12-003 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 3 | 3 | 1 | 1 | 1 | 10 | 4 | 4 | 5 | 2 | 2
B2G-12-004 | PUB | 0 | 0 | 1 | 1 | 5 | 2 | 2 | 1 | 1 | 1 | 7 | 4 | 4 | 7 | 4 | 4
B2G-12-005 | PAS-only-PUB | 1 | 1 | 1 | 1 | 4 | 3 | 2 | 1 | 1 | 1 | 9 | 9 | 9 | 5 | 5 | 5
B2G-12-006 | PAS-only-PUB | 1 | 0 | 1 | 1 | 4 | 3 | 1 | 2 | 1 | 1 | 15 | 4 | 4 | 7 | 1 | 1
B2G-12-007 | PAS-only-PUB | 1 | 0 | 1 | 1 | 4 | 2 | 0 | 1 | 1 | 1 | 3 | 3 | 3 | 2 | 1 | 1
B2G-12-008 | PAS-only-PUB | 1 | 0 | 1 | 1 | 4 | 3 | 2 | 1 | 1 | 1 | 3 | 3 | 3 | 1 | 1 | 1
B2G-12-009 | PUB | 1 | 1 | 1 | 1 | 5 | 3 | 3 | 2 | 2 | 2 | 10 | 8 | 8 | 7 | 5 | 5
B2G-12-010 | PUB | 1 | 0 | 1 | 1 | 5 | 3 | 2 | 1 | 1 | 1 | 9 | 9 | 9 | 4 | 4 | 4
B2G-12-011 | Free | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-012 | PUB | 1 | 1 | 1 | 1 | 5 | 4 | 3 | 1 | 1 | 1 | 5 | 5 | 5 | 4 | 3 | 3
B2G-12-013 | PAS-only-PUB | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 1 | 0 | 0 | 5 | 3 | 3 | 4 | 2 | 2
B2G-12-014 | PUB | 1 | 1 | 0 | 0 | 5 | 3 | 2 | 1 | 0 | 0 | 4 | 1 | 0 | 3 | 1 | 0
B2G-12-015 | PUB | 1 | 1 | 1 | 1 | 5 | 3 | 3 | 2 | 2 | 2 | 14 | 14 | 14 | 6 | 4 | 4
B2G-12-016 | CWR-ended | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 2 | 1 | 1 | 15 | 6 | 6 | 9 | 3 | 3
