Analysis code | Status | Samples | ARC chair from USA | ARC chair from LPC | ARC chair from LPC NEW | Cadi contact from US | Cadi contact LPC | Cadi contact LPC NEW | # of ARC members | # of ARC members form USA | # of ARC members from LPC | # of ARC members from LPC NEW | # of an submitters | # of submitters from USA | # of AN submitters from LPC | # of AN submitters from LPC NEW | # AN authors | # of AN authors from USA | # of  AN authors from LPC | # of  AN authors from LPC NEW | # AN authors LPC fellows | ARC chairs LPC fellow | # ARC members LPC fellows  | # of institutes | # in institutes from USA | # of institutes from LPC | # of institutes from LPC NEW
B2G-12-001 | Free | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-002 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
B2G-12-003 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 4 | 3 | 3 | 0 | 1 | 1 | 1 | 1 | 9 | 4 | 4 | 3 | 0 | 0 | 0 | 5 | 2 | 2 | 2
B2G-12-004 | PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 0 | 5 | 2 | 2 | 0 | 1 | 1 | 1 | 1 | 7 | 4 | 4 | 1 | 1 | 0 | 0 | 7 | 4 | 4 | 1
B2G-12-005 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 4 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 9 | 9 | 9 | 7 | 2 | 0 | 0 | 5 | 5 | 5 | 4
B2G-12-006 | PAS-only-PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 0 | 4 | 3 | 1 | 1 | 2 | 1 | 1 | 0 | 14 | 4 | 4 | 1 | 0 | 0 | 1 | 7 | 1 | 1 | 1
B2G-12-007 | PAS-only-PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 1 | 4 | 2 | 0 | 0 | 1 | 1 | 1 | 0 | 4 | 3 | 3 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 1
B2G-12-008 | PAS-only-PUB | Run1 | 1 | 0 | 1 | 1 | 1 | 0 | 4 | 3 | 2 | 2 | 1 | 1 | 1 | 0 | 3 | 3 | 3 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1
B2G-12-009 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 1 | 5 | 3 | 3 | 2 | 2 | 2 | 2 | 2 | 10 | 8 | 8 | 7 | 2 | 0 | 0 | 7 | 5 | 5 | 5
B2G-12-010 | PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 1 | 5 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 9 | 9 | 9 | 7 | 1 | 0 | 0 | 4 | 4 | 4 | 3
B2G-12-011 | Free | Run1 | - | - | - | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-012 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 5 | 4 | 3 | 1 | 1 | 1 | 1 | 1 | 6 | 5 | 5 | 3 | 0 | 0 | 0 | 4 | 3 | 3 | 2
B2G-12-013 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 5 | 3 | 3 | 1 | 1 | 0 | 0 | 4 | 2 | 2 | 1
B2G-12-014 | PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 5 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0
B2G-12-015 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 1 | 5 | 3 | 3 | 2 | 2 | 2 | 2 | 0 | 18 | 14 | 14 | 7 | 2 | 0 | 0 | 6 | 4 | 4 | 3
B2G-12-016 | CWR-ended | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 14 | 6 | 6 | 5 | 0 | 0 | 0 | 9 | 3 | 3 | 3
B2G-12-017 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 2 | 2 | 2 | 1 | 1 | 1 | 1 | 15 | 9 | 9 | 7 | 2 | 0 | 1 | 11 | 5 | 5 | 5
B2G-12-018 | Inactive | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
B2G-12-019 | PAS-only-PUB | Run1 | 1 | 0 | 0 | 1 | 1 | 1 | 4 | 3 | 1 | 0 | 1 | 1 | 1 | 1 | 9 | 5 | 5 | 5 | 2 | 0 | 0 | 8 | 4 | 4 | 4
B2G-12-020 | PAS-only-PUB | Run1 | 1 | 1 | 1 | 0 | 0 | 0 | 4 | 4 | 4 | 3 | 1 | 0 | 0 | 0 | 5 | 1 | 0 | 1 | 0 | 0 | 1 | 4 | 1 | 0 | 1
B2G-12-021 | PAS-only-PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 5 | 1 | 1 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0
B2G-12-022 | PUB | Run1 | 1 | 1 | 1 | 1 | 1 | 0 | 5 | 3 | 3 | 2 | 1 | 1 | 1 | 0 | 5 | 3 | 3 | 1 | 1 | 0 | 0 | 4 | 3 | 3 | 1
B2G-12-023 | PUB | Run1 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0
B2G-12-024 | PUB | Run1 | 1 | 1 | 0 | 1 | 1 | 0 | 5 | 2 | 2 | 0 | 1 | 1 | 1 | 1 | 7 | 4 | 4 | 3 | 0 | 0 | 0 | 4 | 2 | 2 | 1
B2G-12-025 | PAS-only-PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0
B2G-13-001 | PUB | Run1 | 1 | 1 | 0 | 0 | 0 | 0 | 4 | 4 | 1 | 1 | 4 | 3 | 3 | 2 | 46 | 26 | 26 | 16 | 4 | 0 | 0 | 12 | 6 | 6 | 5
B2G-13-002 | SUPERSEDED | Run1 | - | - | - | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 0
